dates,city,season,host_team,visiting_team,toss_winner,toss_decision,venue,result,winner,player_of_match,match_id
2012-05-23,Bangalore,2012,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium,1,Chennai Super Kings,MS Dhoni,320.0
2012-05-25,Chennai,2012,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,field,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,M Vijay,321.0
2012-05-27,Chennai,2012,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",1,Kolkata Knight Riders,MS Bisla,322.0
2013-04-03,Kolkata,2013,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,field,Eden Gardens,1,Kolkata Knight Riders,SP Narine,323.0
2013-04-04,Bangalore,2013,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,CH Gayle,324.0
2013-04-05,Hyderabad,2013,Sunrisers Hyderabad,Pune Warriors,Pune Warriors,field,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,A Mishra,325.0
2013-04-06,Delhi,2013,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,bat,Feroz Shah Kotla,1,Rajasthan Royals,R Dravid,326.0
2013-04-06,Chennai,2013,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,"MA Chidambaram Stadium, Chepauk",1,Mumbai Indians,KA Pollard,327.0
2013-04-07,Hyderabad,2013,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,GH Vihari,328.0
2013-04-07,Pune,2013,Pune Warriors,Kings XI Punjab,Pune Warriors,bat,Subrata Roy Sahara Stadium,1,Kings XI Punjab,M Vohra,329.0
2013-04-08,Jaipur,2013,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Sawai Mansingh Stadium,1,Rajasthan Royals,SK Trivedi,330.0
2013-04-09,Bangalore,2013,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,V Kohli,331.0
2013-04-09,Mumbai,2013,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Wankhede Stadium,1,Mumbai Indians,KD Karthik,332.0
2013-04-10,Chandigarh,2013,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,MEK Hussey,333.0
2013-04-11,Bangalore,2013,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,CH Gayle,334.0
2013-04-11,Pune,2013,Pune Warriors,Rajasthan Royals,Rajasthan Royals,bat,Subrata Roy Sahara Stadium,1,Pune Warriors,AJ Finch,335.0
2013-04-12,Delhi,2013,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Feroz Shah Kotla,1,Sunrisers Hyderabad,A Mishra,336.0
2013-04-13,Mumbai,2013,Mumbai Indians,Pune Warriors,Mumbai Indians,bat,Wankhede Stadium,1,Mumbai Indians,RG Sharma,337.0
2013-04-13,Chennai,2013,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,RA Jadeja,338.0
2013-04-14,Jaipur,2013,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,field,Sawai Mansingh Stadium,1,Rajasthan Royals,JP Faulkner,339.0
2013-04-14,Kolkata,2013,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Eden Gardens,1,Kolkata Knight Riders,G Gambhir,340.0
2013-04-15,Chennai,2013,Chennai Super Kings,Pune Warriors,Pune Warriors,bat,"MA Chidambaram Stadium, Chepauk",1,Pune Warriors,SPD Smith,341.0
2013-04-16,Chandigarh,2013,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,MS Gony,342.0
2013-04-16,Bangalore,2013,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,V Kohli,343.0
2013-04-17,Pune,2013,Pune Warriors,Sunrisers Hyderabad,Pune Warriors,field,Subrata Roy Sahara Stadium,1,Sunrisers Hyderabad,A Mishra,344.0
2013-04-17,Jaipur,2013,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Sawai Mansingh Stadium,1,Rajasthan Royals,AM Rahane,345.0
2013-04-18,Delhi,2013,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,bat,Feroz Shah Kotla,1,Chennai Super Kings,MEK Hussey,346.0
2013-04-19,Hyderabad,2013,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,bat,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,GH Vihari,347.0
2013-04-20,Bangalore,2013,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,R Vinay Kumar,348.0
2013-04-20,Kolkata,2013,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Eden Gardens,1,Chennai Super Kings,RA Jadeja,349.0
2013-04-21,Delhi,2013,Delhi Daredevils,Mumbai Indians,Mumbai Indians,bat,Feroz Shah Kotla,1,Delhi Daredevils,V Sehwag,350.0
2013-04-21,Chandigarh,2013,Kings XI Punjab,Pune Warriors,Kings XI Punjab,field,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,DA Miller,351.0
2013-04-22,Chennai,2013,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,MEK Hussey,352.0
2013-04-23,Delhi,2013,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Feroz Shah Kotla,1,Kings XI Punjab,Harmeet Singh,353.0
2013-04-23,Bangalore,2013,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,CH Gayle,354.0
2013-04-24,Kolkata,2013,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Eden Gardens,1,Mumbai Indians,DR Smith,355.0
2013-04-25,Chennai,2013,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,MS Dhoni,356.0
2013-04-26,Kolkata,2013,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,bat,Eden Gardens,1,Kolkata Knight Riders,JH Kallis,357.0
2013-04-27,Jaipur,2013,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sawai Mansingh Stadium,1,Rajasthan Royals,JP Faulkner,358.0
2013-04-27,Mumbai,2013,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Wankhede Stadium,1,Mumbai Indians,DR Smith,359.0
2013-04-28,Raipur,2013,Delhi Daredevils,Pune Warriors,Pune Warriors,field,Shaheed Veer Narayan Singh International Stadium,1,Delhi Daredevils,DA Warner,360.0
2013-04-28,Chennai,2013,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,MEK Hussey,361.0
2013-04-29,Mumbai,2013,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Wankhede Stadium,1,Mumbai Indians,RG Sharma,362.0
2013-04-29,Jaipur,2013,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Sawai Mansingh Stadium,1,Rajasthan Royals,SV Samson,363.0
2013-04-30,Pune,2013,Pune Warriors,Chennai Super Kings,Chennai Super Kings,bat,Subrata Roy Sahara Stadium,1,Chennai Super Kings,MS Dhoni,364.0
2013-05-01,Raipur,2013,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,bat,Shaheed Veer Narayan Singh International Stadium,1,Delhi Daredevils,DA Warner,365.0
2013-05-01,Hyderabad,2013,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,bat,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,I Sharma,366.0
2013-05-02,Chennai,2013,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,SK Raina,367.0
2013-05-02,Pune,2013,Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Subrata Roy Sahara Stadium,1,Royal Challengers Bangalore,AB de Villiers,368.0
2013-05-03,Kolkata,2013,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Eden Gardens,1,Kolkata Knight Riders,YK Pathan,369.0
2013-05-04,Hyderabad,2013,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,bat,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,DJG Sammy,370.0
2013-05-05,Mumbai,2013,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Wankhede Stadium,1,Mumbai Indians,MG Johnson,371.0
2013-05-05,Jaipur,2013,Rajasthan Royals,Pune Warriors,Pune Warriors,bat,Sawai Mansingh Stadium,1,Rajasthan Royals,AM Rahane,372.0
2013-05-06,Chandigarh,2013,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,field,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,DA Miller,373.0
2013-05-07,Jaipur,2013,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,bat,Sawai Mansingh Stadium,1,Rajasthan Royals,AM Rahane,374.0
2013-05-07,Mumbai,2013,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Wankhede Stadium,1,Mumbai Indians,SR Tendulkar,375.0
2013-05-08,Hyderabad,2013,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,"Rajiv Gandhi International Stadium, Uppal",1,Chennai Super Kings,SK Raina,376.0
2013-05-09,Chandigarh,2013,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,"Punjab Cricket Association Stadium, Mohali",1,Rajasthan Royals,KK Cooper,377.0
2013-05-09,Pune,2013,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,bat,Subrata Roy Sahara Stadium,1,Kolkata Knight Riders,G Gambhir,378.0
2013-05-10,Delhi,2013,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,field,Feroz Shah Kotla,1,Royal Challengers Bangalore,JD Unadkat,379.0
2013-05-11,Pune,2013,Pune Warriors,Mumbai Indians,Pune Warriors,bat,Subrata Roy Sahara Stadium,1,Mumbai Indians,MG Johnson,380.0
2013-05-11,Chandigarh,2013,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,field,"Punjab Cricket Association Stadium, Mohali",1,Sunrisers Hyderabad,PA Patel,381.0
2013-05-12,Jaipur,2013,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium,1,Rajasthan Royals,SR Watson,382.0
2013-05-12,Ranchi,2013,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,JSCA International Stadium Complex,1,Kolkata Knight Riders,JH Kallis,383.0
2013-05-13,Mumbai,2013,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Wankhede Stadium,1,Mumbai Indians,KA Pollard,384.0
2013-05-14,Bangalore,2013,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,M Chinnaswamy Stadium,1,Kings XI Punjab,AC Gilchrist,385.0
2013-05-14,Chennai,2013,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,MS Dhoni,386.0
2013-05-15,Mumbai,2013,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Wankhede Stadium,1,Mumbai Indians,AP Tare,387.0
2013-05-15,Ranchi,2013,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,field,JSCA International Stadium Complex,1,Pune Warriors,MK Pandey,388.0
2013-05-16,Dharamsala,2013,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,DA Miller,389.0
2013-05-17,Hyderabad,2013,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,A Mishra,390.0
2013-05-18,Bangalore,2013,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,V Kohli,391.0
2013-05-18,Dharamsala,2013,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,Azhar Mahmood,392.0
2013-05-19,Pune,2013,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,Subrata Roy Sahara Stadium,1,Pune Warriors,LJ Wright,393.0
2013-05-19,Hyderabad,2013,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,PA Patel,394.0
2013-05-21,Delhi,2013,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Feroz Shah Kotla,1,Chennai Super Kings,MEK Hussey,395.0
2013-05-22,Delhi,2013,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Feroz Shah Kotla,1,Rajasthan Royals,BJ Hodge,396.0
2013-05-24,Kolkata,2013,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Eden Gardens,1,Mumbai Indians,Harbhajan Singh,397.0
2013-05-26,Kolkata,2013,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Eden Gardens,1,Mumbai Indians,KA Pollard,398.0
2014-04-16,Abu Dhabi,2014,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,Sheikh Zayed Stadium,1,Kolkata Knight Riders,JH Kallis,399.0
2014-04-17,,2014,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,YS Chahal,400.0
2014-04-18,Abu Dhabi,2014,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Sheikh Zayed Stadium,1,Kings XI Punjab,GJ Maxwell,401.0
2014-04-18,Abu Dhabi,2014,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sheikh Zayed Stadium,1,Rajasthan Royals,AM Rahane,402.0
2014-04-19,,2014,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Dubai International Cricket Stadium,1,Delhi Daredevils,JP Duminy,403.0
2014-04-19,,2014,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Dubai International Cricket Stadium,1,Royal Challengers Bangalore,PA Patel,404.0
2014-04-20,,2014,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Sharjah Cricket Stadium,1,Kings XI Punjab,GJ Maxwell,405.0
2014-04-21,Abu Dhabi,2014,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Sheikh Zayed Stadium,1,Chennai Super Kings,SK Raina,406.0
2014-04-22,,2014,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sharjah Cricket Stadium,1,Kings XI Punjab,GJ Maxwell,407.0
2014-04-23,,2014,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Dubai International Cricket Stadium,1,Chennai Super Kings,RA Jadeja,408.0
2014-04-24,,2014,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Sharjah Cricket Stadium,1,Kolkata Knight Riders,CA Lynn,409.0
2014-04-25,,2014,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Dubai International Cricket Stadium,1,Chennai Super Kings,MM Sharma,410.0
2014-04-25,,2014,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,Dubai International Cricket Stadium,1,Sunrisers Hyderabad,AJ Finch,411.0
2014-04-26,Abu Dhabi,2014,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,Sheikh Zayed Stadium,1,Kings XI Punjab,Sandeep Sharma,412.0
2014-04-26,Abu Dhabi,2014,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Sheikh Zayed Stadium,1,Rajasthan Royals,PV Tambe,413.0
2014-04-27,,2014,Delhi Daredevils,Mumbai Indians,Mumbai Indians,bat,Sharjah Cricket Stadium,1,Delhi Daredevils,M Vijay,414.0
2014-04-27,,2014,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sharjah Cricket Stadium,1,Chennai Super Kings,DR Smith,415.0
2014-04-28,,2014,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,field,Dubai International Cricket Stadium,1,Kings XI Punjab,Sandeep Sharma,416.0
2014-04-29,Abu Dhabi,2014,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Sheikh Zayed Stadium,2,Rajasthan Royals,JP Faulkner,417.0
2014-04-30,,2014,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Dubai International Cricket Stadium,1,Sunrisers Hyderabad,B Kumar,418.0
2014-05-02,Ranchi,2014,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,JSCA International Stadium Complex,1,Chennai Super Kings,RA Jadeja,419.0
2014-05-03,Mumbai,2014,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,bat,Wankhede Stadium,1,Mumbai Indians,CJ Anderson,420.0
2014-05-03,Delhi,2014,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Feroz Shah Kotla,1,Rajasthan Royals,KK Nair,421.0
2014-05-04,Bangalore,2014,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,AB de Villiers,422.0
2014-05-05,Delhi,2014,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Feroz Shah Kotla,1,Chennai Super Kings,DR Smith,423.0
2014-05-05,Ahmedabad,2014,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,"Sardar Patel Stadium, Motera",1,Rajasthan Royals,PV Tambe,424.0
2014-05-06,Mumbai,2014,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Wankhede Stadium,1,Mumbai Indians,RG Sharma,425.0
2014-05-07,Delhi,2014,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Feroz Shah Kotla,1,Kolkata Knight Riders,G Gambhir,426.0
2014-05-07,Cuttack,2014,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Barabati Stadium,1,Kings XI Punjab,GJ Maxwell,427.0
2014-05-08,Ahmedabad,2014,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,"Sardar Patel Stadium, Motera",1,Sunrisers Hyderabad,B Kumar,428.0
2014-05-09,Bangalore,2014,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,1,Kings XI Punjab,Sandeep Sharma,429.0
2014-05-10,Mumbai,2014,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Wankhede Stadium,1,Chennai Super Kings,DR Smith,430.0
2014-05-10,Delhi,2014,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Feroz Shah Kotla,1,Sunrisers Hyderabad,DW Steyn,431.0
2014-05-11,Bangalore,2014,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,M Chinnaswamy Stadium,1,Rajasthan Royals,JP Faulkner,432.0
2014-05-11,Cuttack,2014,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Barabati Stadium,1,Kolkata Knight Riders,G Gambhir,433.0
2014-05-12,Hyderabad,2014,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,AT Rayudu,434.0
2014-05-13,Ranchi,2014,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,JSCA International Stadium Complex,1,Chennai Super Kings,RA Jadeja,435.0
2014-05-13,Bangalore,2014,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Yuvraj Singh,436.0
2014-05-14,Cuttack,2014,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Barabati Stadium,1,Kolkata Knight Riders,RV Uthappa,437.0
2014-05-14,Hyderabad,2014,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,"Rajiv Gandhi International Stadium, Uppal",1,Kings XI Punjab,WP Saha,438.0
2014-05-15,Ahmedabad,2014,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,"Sardar Patel Stadium, Motera",1,Rajasthan Royals,AM Rahane,439.0
2014-05-18,Hyderabad,2014,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal",1,Kolkata Knight Riders,UT Yadav,440.0
2014-05-18,Ranchi,2014,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,JSCA International Stadium Complex,1,Royal Challengers Bangalore,AB de Villiers,441.0
2014-05-19,Delhi,2014,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Feroz Shah Kotla,1,Kings XI Punjab,AR Patel,442.0
2014-05-19,Ahmedabad,2014,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera",1,Mumbai Indians,MEK Hussey,443.0
2014-05-20,Hyderabad,2014,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,DA Warner,444.0
2014-05-20,Kolkata,2014,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Eden Gardens,1,Kolkata Knight Riders,RV Uthappa,445.0
2014-05-21,Chandigarh,2014,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association Stadium, Mohali",1,Mumbai Indians,LMP Simmons,446.0
2014-05-22,Ranchi,2014,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,JSCA International Stadium Complex,1,Sunrisers Hyderabad,DA Warner,447.0
2014-05-22,Kolkata,2014,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Eden Gardens,1,Kolkata Knight Riders,RV Uthappa,448.0
2014-05-23,Mumbai,2014,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Wankhede Stadium,1,Mumbai Indians,MEK Hussey,449.0
2014-05-23,Chandigarh,2014,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,SE Marsh,450.0
2014-05-24,Bangalore,2014,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,M Chinnaswamy Stadium,1,Chennai Super Kings,MS Dhoni,451.0
2014-05-24,Kolkata,2014,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Eden Gardens,1,Kolkata Knight Riders,YK Pathan,452.0
2014-05-25,Mumbai,2014,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Wankhede Stadium,1,Mumbai Indians,CJ Anderson,453.0
2014-05-25,Chandigarh,2014,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,field,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,M Vohra,454.0
2014-05-27,Kolkata,2014,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,field,Eden Gardens,1,Kolkata Knight Riders,UT Yadav,455.0
2014-05-28,Mumbai,2014,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Brabourne Stadium,1,Chennai Super Kings,SK Raina,456.0
2014-05-30,Mumbai,2014,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,field,Wankhede Stadium,1,Kings XI Punjab,V Sehwag,457.0
2014-06-01,Bangalore,2014,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,M Chinnaswamy Stadium,1,Kolkata Knight Riders,MK Pandey,458.0
2015-04-18,Pune,2015,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Maharashtra Cricket Association Stadium,1,Kolkata Knight Riders,AD Russell,459.0
2015-04-19,Ahmedabad,2015,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,"Sardar Patel Stadium, Motera",1,Rajasthan Royals,AM Rahane,460.0
2015-04-19,Bangalore,2015,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,1,Mumbai Indians,Harbhajan Singh,461.0
2015-04-20,Delhi,2015,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Feroz Shah Kotla,1,Kolkata Knight Riders,UT Yadav,462.0
2015-04-21,Ahmedabad,2015,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,"Sardar Patel Stadium, Motera",2,Kings XI Punjab,SE Marsh,463.0
2015-04-22,Visakhapatnam,2015,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,DA Warner,464.0
2015-04-22,Bangalore,2015,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,1,Chennai Super Kings,SK Raina,465.0
2015-04-23,Delhi,2015,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,Feroz Shah Kotla,1,Delhi Daredevils,SS Iyer,466.0
2015-04-24,Ahmedabad,2015,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Sardar Patel Stadium, Motera",1,Royal Challengers Bangalore,MA Starc,467.0
2015-04-08,Kolkata,2015,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Eden Gardens,1,Kolkata Knight Riders,M Morkel,468.0
2015-04-09,Chennai,2015,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,A Nehra,469.0
2015-04-10,Pune,2015,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,Maharashtra Cricket Association Stadium,1,Rajasthan Royals,JP Faulkner,470.0
2015-04-11,Kolkata,2015,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Eden Gardens,1,Royal Challengers Bangalore,CH Gayle,471.0
2015-04-11,Chennai,2015,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,BB McCullum,472.0
2015-04-12,Delhi,2015,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Feroz Shah Kotla,1,Rajasthan Royals,DJ Hooda,473.0
2015-04-12,Mumbai,2015,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Wankhede Stadium,1,Kings XI Punjab,GJ Bailey,474.0
2015-04-13,Bangalore,2015,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,M Chinnaswamy Stadium,1,Sunrisers Hyderabad,DA Warner,475.0
2015-04-14,Ahmedabad,2015,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera",1,Rajasthan Royals,SPD Smith,476.0
